model_alias,layer_source_method,layer_selection,component,median_effect,mean_clipped_effect,q25_effect,q75_effect,n_rows
gpt2,attn,best,attn,-0.1352005185246749,-0.4645237669521105,-0.8421399017243185,0.12753537729204878,7
gpt2,attn,best,mlp,0.9916695488020192,0.9027952584422844,0.25271286502914625,1.8209628070370827,7
gpt2,attn,best,resid,-0.6361384423503326,-0.28420997703699585,-1.5534701360623115,0.6808404947875827,7
gpt2,attn,top-k,resid,0.0379705501994144,-0.20261642874661345,-0.8432477078102583,0.3847429420522429,21
gpt2,dmm,best,attn,-0.034695863257304,-0.2915618370734574,-0.7439427314859118,0.15640817531086515,7
gpt2,dmm,best,mlp,-0.1216209593723506,-0.18733371651568545,-0.6285089956795014,0.03365146756077744,7
gpt2,dmm,best,resid,-0.0560781176124135,-0.2533874728089697,-1.2871484438134804,0.39394957137583675,7
gpt2,dmm,top-k,resid,0.584325267650463,0.016835847273645916,-0.7150123864838039,1.0041232638888888,21
gpt2,lr,best,attn,0.2948002014881612,0.3870997330151576,-0.00591480628275004,0.7871149301174583,7
gpt2,lr,best,mlp,0.3970223521970428,0.2935528873998136,0.019877359295559893,0.45686529645739893,7
gpt2,lr,best,resid,0.5569903890048259,0.0047690264642525826,-1.4241895087991006,0.8723419380027166,7
gpt2,lr,top-k,resid,0.7774046217131796,0.10286124189674056,-0.7150170970001113,1.0040289866428778,21
llama-3.2-3b,attn,best,attn,0.1969778299331665,0.3249561871091524,0.1385921418666839,0.4510520895322163,7
llama-3.2-3b,attn,best,mlp,0.0080490171909332,-0.030985654074521314,-0.0415097907185554,0.036574815089503845,7
llama-3.2-3b,attn,best,resid,1.0056169509887696,1.277249414580209,0.9528358697891235,1.5911171436309814,7
llama-3.2-3b,attn,top-k,resid,0.8472229242324829,0.8042632872090927,0.0112705963353315,1.526721477508545,21
llama-3.2-3b,dmm,best,attn,-0.003861553966999,-0.00857454421264783,-0.03265186523397755,0.0154666283478339,7
llama-3.2-3b,dmm,best,mlp,0.0086800586432218,-0.009118361957371243,-0.01319927470758555,0.0305320650339126,7
llama-3.2-3b,dmm,best,resid,-0.0046986162662506,-0.046373682752961214,-0.062956690788269,0.0149135128905375,7
llama-3.2-3b,dmm,top-k,resid,0.0178829866151014,-0.02811533916327689,-0.0227874293923378,0.0571460872888565,21
llama-3.2-3b,lr,best,attn,-0.017737828195095,-0.041234629778634936,-0.0427245639264583,0.0111503049731254,7
llama-3.2-3b,lr,best,mlp,0.0061733853071928,-0.09758922363675777,-0.1359421829382578,0.018946050852537102,7
llama-3.2-3b,lr,best,resid,0.0320606529712677,-0.01917997350295386,-0.00234902128577235,0.0501875728368759,7
llama-3.2-3b,lr,top-k,resid,0.0450272738933563,-0.01750597712539492,-0.0049599756797154,0.0670428946614265,21
phi-3-mini-4k-instruct,attn,best,attn,-0.0006892265608677,0.0019397979127092,-0.00243925883034735,0.0054978125237772,7
phi-3-mini-4k-instruct,attn,best,mlp,0.006053580556597,0.008785865886381014,-0.0008393935577221501,0.02178418184771675,7
phi-3-mini-4k-instruct,attn,best,resid,-0.0263384313418947,-0.018427312732154172,-0.036665519576835004,-0.00083342737644805,7
phi-3-mini-4k-instruct,attn,top-k,resid,0.005733558680953,0.07436447400459678,-0.0084812872368713,0.1927135058811732,21
phi-3-mini-4k-instruct,dmm,best,attn,-0.0006892265608677,0.0019397979127092,-0.00243925883034735,0.0054978125237772,7
phi-3-mini-4k-instruct,dmm,best,mlp,0.006053580556597,0.008785865886381014,-0.0008393935577221501,0.02178418184771675,7
phi-3-mini-4k-instruct,dmm,best,resid,-0.0263384313418947,-0.018427312732154172,-0.036665519576835004,-0.00083342737644805,7
phi-3-mini-4k-instruct,dmm,top-k,resid,-0.0359155021864792,-0.039190285698544616,-0.0802502632141113,-0.0044252855273393,21
phi-3-mini-4k-instruct,lr,best,attn,0.2178525788443429,0.21415604070985148,0.1857983169137123,0.2426236318570319,7
phi-3-mini-4k-instruct,lr,best,mlp,-0.1413646111121544,-0.1453378237190411,-0.17251002533032284,-0.10642996443298465,7
phi-3-mini-4k-instruct,lr,best,resid,0.9793284186001482,0.9420056322722712,0.9054860468510981,0.9948995449842313,7
phi-3-mini-4k-instruct,lr,top-k,resid,0.9628108631480824,0.9249555993103383,0.8808609889103816,0.9871931365042022,21
qwen3-4b,attn,best,attn,0.1947776675224304,0.17858220675721892,0.1488702911736173,0.19883890821222666,7
qwen3-4b,attn,best,mlp,-0.0124432282467766,-0.011708629871744942,-0.01365102794926765,-0.0058071825758041,7
qwen3-4b,attn,best,resid,0.5357755154979472,0.57943606374863,0.4825911105817897,0.6823166106876575,7
qwen3-4b,attn,top-k,resid,0.3723527597084205,0.2987173412704566,-0.0486340782133605,0.5357755154979472,21
qwen3-4b,dmm,best,attn,-0.0086150326226886,-0.013226543605873027,-0.01741688233433345,-0.0067717036264639,7
qwen3-4b,dmm,best,mlp,0.0956116111911073,0.10040281348661052,0.08745009844300515,0.1135051091512044,7
qwen3-4b,dmm,best,resid,0.5396596947494818,0.5773886684556988,0.4850547159007163,0.6819350593968442,7
qwen3-4b,dmm,top-k,resid,-0.0257688785085872,0.14693662865627077,-0.0557578500494899,0.4798146650880949,21
qwen3-4b,lr,best,attn,-0.0237734615802764,-0.013485653234802343,-0.02876675696910925,0.00325899705160085,7
qwen3-4b,lr,best,mlp,-0.0379556173301604,-0.03552548614928067,-0.041715450777127946,-0.0289024197694027,7
qwen3-4b,lr,best,resid,-0.0365113388408314,-0.03630439809781562,-0.0535820390091461,-0.028911488794262398,7
qwen3-4b,lr,top-k,resid,-0.0363149603041644,-0.06118476779191314,-0.0743214984734853,-0.0153176394375887,21
