base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
2hop_fractions_0003,replace_prior,2,magnitude_error,False,False,0.3171580573953177,0.1598720850137043,False,1
2hop_fractions_0003,branch_and_pick,2,magnitude_error,False,False,0.1886716059240916,0.0956288592780913,False,1
4hop_compound_interest_0018,baseline,4,magnitude_error,False,False,0.9999999999641922,0.9969005370804476,True,0
4hop_compound_interest_0018,reprompt,4,magnitude_error,False,False,0.9999999999641922,0.9969005370804476,True,3
4hop_compound_interest_0018,replace_prior,4,magnitude_error,False,False,0.9998371614164644,0.7711263972787344,True,3
4hop_compound_interest_0018,branch_and_pick,4,magnitude_error,False,False,0.9999999999641922,0.6081848047507183,True,3
2hop_arithmetic_0015,baseline,2,off_by_one,False,False,0.926759754310288,0.4634216903625994,True,0
2hop_arithmetic_0015,reprompt,2,off_by_one,False,False,0.926759754310288,0.4634216903625994,True,1
2hop_arithmetic_0015,replace_prior,2,off_by_one,False,False,0.7720272806616254,0.386055453538268,False,1
2hop_arithmetic_0015,branch_and_pick,2,off_by_one,False,False,0.938209007361974,0.4691463168884424,True,1
3hop_compound_rate_0040,baseline,3,off_by_one,False,False,0.999999939104118,0.697365308002133,True,0
3hop_compound_rate_0040,reprompt,3,off_by_one,False,False,0.999999939104118,0.697365308002133,True,2
3hop_compound_rate_0040,replace_prior,3,off_by_one,False,False,0.5798670450426937,0.2240315092317742,False,1
3hop_compound_rate_0040,branch_and_pick,3,off_by_one,False,False,0.8425416532600138,0.4113993395346982,True,2
2hop_rate_distance_0031,baseline,2,wrong_operator,False,False,0.999999327288844,0.5194874769203913,True,0
2hop_rate_distance_0031,reprompt,2,wrong_operator,False,False,0.999999327288844,0.5194874769203913,True,1
2hop_rate_distance_0031,replace_prior,2,wrong_operator,False,False,0.2271426819937909,0.1330591542728648,False,1
2hop_rate_distance_0031,branch_and_pick,2,wrong_operator,False,False,0.9046034869666268,0.4717895567592828,True,1
2hop_percentage_0009,baseline,2,wrong_percentage_base,False,False,0.9819155347173424,0.4936162615384347,True,0
