base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
2hop_fractions_0003,replace_prior,2,magnitude_error,False,False,0.443969316306366,0.4297423783455876,False,1
2hop_fractions_0003,branch_and_pick,2,magnitude_error,False,False,0.9998064149383848,0.7218878656223754,True,1
4hop_compound_interest_0018,baseline,4,magnitude_error,False,False,0.9999893862899866,0.7844037460159319,True,0
4hop_compound_interest_0018,reprompt,4,magnitude_error,False,False,0.9999893862899866,0.7844037460159319,True,3
4hop_compound_interest_0018,replace_prior,4,magnitude_error,False,False,0.9397647899272082,0.24726080604947254,True,1
4hop_compound_interest_0018,branch_and_pick,4,magnitude_error,False,False,0.9999452415612012,0.5550053248484466,True,3
2hop_arithmetic_0015,baseline,2,off_by_one,False,False,0.9987116642877196,0.9542328206200086,True,0
2hop_arithmetic_0015,reprompt,2,off_by_one,False,False,0.9987116642877196,0.9542328206200086,True,2
2hop_arithmetic_0015,replace_prior,2,off_by_one,False,False,0.9097539769522976,0.7556535190190843,True,1
2hop_arithmetic_0015,branch_and_pick,2,off_by_one,False,False,0.9911841953978677,0.5371689756845438,True,2
3hop_compound_rate_0040,baseline,3,off_by_one,False,False,0.9997798508916268,0.9732695315922122,True,0
3hop_compound_rate_0040,reprompt,3,off_by_one,False,False,0.9997798508916268,0.9732695315922122,True,3
3hop_compound_rate_0040,replace_prior,3,off_by_one,False,False,0.9830272646081414,0.41454328590898953,True,1
3hop_compound_rate_0040,branch_and_pick,3,off_by_one,False,False,0.9985409895489603,0.7870235093471369,True,3
2hop_rate_distance_0031,baseline,2,wrong_operator,False,False,0.9999995521913134,0.9843771236931879,True,0
2hop_rate_distance_0031,reprompt,2,wrong_operator,False,False,0.9999995521913134,0.9843771236931879,True,2
2hop_rate_distance_0031,replace_prior,2,wrong_operator,False,False,0.9687546951950623,0.8286722252665236,True,1
2hop_rate_distance_0031,branch_and_pick,2,wrong_operator,False,False,0.9999958692298346,0.5758720072779118,True,2
2hop_percentage_0009,baseline,2,wrong_percentage_base,False,False,0.9981989835933502,0.996105243317779,True,0
2hop_percentage_0009,reprompt,2,wrong_percentage_base,False,False,0.9981989835933502,0.996105243317779,True,2
2hop_percentage_0009,replace_prior,2,wrong_percentage_base,False,False,0.9940115030422078,0.8958184120305839,True,1
2hop_percentage_0009,branch_and_pick,2,wrong_percentage_base,False,False,0.9903601852478969,0.6947140603937616,True,2
3hop_compound_rate_0012,baseline,3,wrong_unit,False,False,0.9987889315582734,0.8609322006125137,True,0
3hop_compound_rate_0012,reprompt,3,wrong_unit,False,False,0.9987889315582734,0.8609322006125137,True,1
3hop_compound_rate_0012,replace_prior,3,wrong_unit,False,False,0.7909774751512326,0.3012257092520402,False,1
3hop_compound_rate_0012,branch_and_pick,3,wrong_unit,False,False,0.9921155547016562,0.858707741660308,True,1
2hop_counting_0009,baseline,2,wrong_percentage_base,False,False,0.998943937971283,0.9899022467438804,True,0
2hop_counting_0009,reprompt,2,wrong_percentage_base,False,False,0.998943937971283,0.9899022467438804,True,2
2hop_counting_0009,replace_prior,2,wrong_percentage_base,False,False,0.9808605555164778,0.937253045646067,True,1
2hop_counting_0009,branch_and_pick,2,wrong_percentage_base,False,False,0.9943456064977435,0.5809569134703607,True,2
2hop_percentage_0025,baseline,2,off_by_one,False,False,0.9994906815593366,0.9994568526069202,True,0
2hop_percentage_0025,reprompt,2,off_by_one,False,False,0.9994906815593366,0.9994568526069202,True,2
2hop_percentage_0025,replace_prior,2,off_by_one,False,False,0.9994906815593366,0.9489248946824586,True,1
2hop_percentage_0025,branch_and_pick,2,off_by_one,False,False,0.9977561781457329,0.9516299240238032,True,2
4hop_nested_fractions_0000,baseline,4,off_by_one,False,False,0.995985424525486,0.439453295825443,True,0
4hop_nested_fractions_0000,reprompt,4,off_by_one,False,False,0.995985424525486,0.439453295825443,True,1
4hop_nested_fractions_0000,replace_prior,4,off_by_one,False,False,0.622291815918858,0.20375784102271705,False,1
4hop_nested_fractions_0000,branch_and_pick,4,off_by_one,False,False,0.9696702156708085,0.43287449361177366,True,1
3hop_compound_rate_0030,baseline,3,off_by_one,False,False,0.9998956808854366,0.9847928166424755,True,0
3hop_compound_rate_0030,reprompt,3,off_by_one,False,False,0.9998956808854366,0.9847928166424755,True,3
