dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_train,baseline,baseline,-1,0.0,0.0,,,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,,,400,382,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.045,0.955,0.33123388228559636,2.0299416383192876,0.6875
explicit_test,baseline,baseline,-1,0.0,0.0,,,0.64,0.36,0.6421052631578947,0.35789473684210527,0.255975638134405,0.61,0.0,0.0,0.0,0.0,0.0,0.0,,,100,95,0.64,0.36,0.6421052631578947,0.35789473684210527,0.05,0.95,0.255975638134405,1.639400197081268,0.61
implicit_full,baseline,baseline,-1,0.0,0.0,,,0.56,0.44,0.6060606060606061,0.3939393939393939,0.06069666398068269,0.58,0.0,0.0,0.0,0.0,0.0,0.0,,,300,198,0.56,0.44,0.6060606060606061,0.3939393939393939,0.34,0.66,0.06069666398068269,0.46451091607411704,0.58
explicit_train,mm,steer_long_term,8,0.0,0.0,13.62234115600586,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.6825,0.6832460732984293,400,382,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.045,0.955,0.33123388228559636,2.0299416383192876,0.6875
explicit_train,mm,steer_immediate,8,0.0,-0.0,13.62234115600586,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.3175,0.31675392670157065,400,382,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.045,0.955,0.33123388228559636,2.0299416383192876,0.6875
explicit_train,mm,steer_long_term,8,2.0,2.0,13.62234115600586,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,-0.0050000000000000044,0.0050000000000000044,-0.005235602094240899,0.005235602094240843,0.0012658004145487123,0.0050000000000000044,0.6775,0.6780104712041884,400,382,0.6775,0.3225,0.6780104712041884,0.3219895287958115,0.045,0.955,0.33249968270014507,2.0385350638395177,0.6925
explicit_train,mm,steer_immediate,8,2.0,-2.0,13.62234115600586,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0025000000000000577,-0.0025000000000000022,0.0009644530173601451,-0.0009644530173601451,-0.0018079061619937775,0.0,0.315,0.3157894736842105,400,380,0.685,0.315,0.6842105263157895,0.3157894736842105,0.05,0.95,0.3294259761236026,2.0179583512642423,0.6875
explicit_train,mm,steer_long_term,8,8.0,8.0,13.62234115600586,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0050000000000000044,-0.0050000000000000044,0.007042640612331841,-0.007042640612331785,0.004173986951791442,0.0024999999999999467,0.6875,0.6902887139107612,400,381,0.6875,0.3125,0.6902887139107612,0.30971128608923887,0.0475,0.9525,0.3354078692373878,2.057614050215343,0.69
explicit_train,mm,steer_immediate,8,8.0,-8.0,13.62234115600586,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,-0.0050000000000000044,0.0050000000000000044,-0.002617801047120394,0.0026178010471204494,-0.008908973383077001,0.0024999999999999467,0.3225,0.3193717277486911,400,382,0.6775,0.3225,0.680628272251309,0.3193717277486911,0.045,0.955,0.32232490890251936,1.9701351983123458,0.69
explicit_train,mm,steer_long_term,24,0.0,0.0,30.28476905822754,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.6825,0.6832460732984293,400,382,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.045,0.955,0.33123388228559636,2.0299416383192876,0.6875
explicit_train,mm,steer_immediate,24,0.0,-0.0,30.28476905822754,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.3175,0.31675392670157065,400,382,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.045,0.955,0.33123388228559636,2.0299416383192876,0.6875
explicit_train,mm,steer_long_term,24,2.0,2.0,30.28476905822754,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0050000000000000044,-0.0050000000000000044,0.005235602094240788,-0.005235602094240788,0.02143950584475529,0.010000000000000009,0.6875,0.6884816753926701,400,382,0.6875,0.3125,0.6884816753926701,0.31151832460732987,0.045,0.955,0.35267338813035165,2.175547043738188,0.6975
explicit_train,mm,steer_immediate,24,2.0,-2.0,30.28476905822754,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.000131235408694641,-0.000131235408694641,-0.02258581495785622,-0.0024999999999999467,0.3175,0.316622691292876,400,379,0.6825,0.3175,0.683377308707124,0.316622691292876,0.0525,0.9475,0.30864806732774014,1.877388950593304,0.685
explicit_train,mm,steer_long_term,24,8.0,8.0,30.28476905822754,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.03249999999999997,-0.03250000000000003,0.03926701570680624,-0.03926701570680624,0.07798685645582737,0.04249999999999998,0.715,0.7225130890052356,400,382,0.715,0.285,0.7225130890052356,0.2774869109947644,0.045,0.955,0.40922073874142373,2.562985266769538,0.73
explicit_train,mm,steer_immediate,24,8.0,-8.0,30.28476905822754,1.0,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,-0.040000000000000036,0.03999999999999998,-0.04020145387585716,0.04020145387585716,-0.09565630849145237,-0.03749999999999998,0.3575,0.3569553805774278,400,381,0.6425,0.3575,0.6430446194225722,0.3569553805774278,0.0475,0.9525,0.23557757379414399,1.387646376019111,0.65
explicit_train,mm,steer_long_term,40,0.0,0.0,51.81414031982422,0.9999999403953552,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.6825,0.6832460732984293,400,382,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.045,0.955,0.33123388228559636,2.0299416383192876,0.6875
explicit_train,mm,steer_immediate,40,0.0,-0.0,51.81414031982422,0.9999999403953552,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.3175,0.31675392670157065,400,382,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.045,0.955,0.33123388228559636,2.0299416383192876,0.6875
explicit_train,mm,steer_long_term,40,2.0,2.0,51.81414031982422,0.9999999403953552,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,-0.0008313751356996413,0.0008313751356996968,-7.709914381848204e-05,0.0,0.6825,0.6824146981627297,400,381,0.6825,0.3175,0.6824146981627297,0.31758530183727035,0.0475,0.9525,0.3311567831417779,2.029289307340514,0.6875
explicit_train,mm,steer_immediate,40,2.0,-2.0,51.81414031982422,0.9999999403953552,0.6825,0.3175,0.6832460732984293,0.31675392670157065,0.33123388228559636,0.6875,0.0,0.0,-0.0008313751356996413,0.0008313751356996968,3.173491029884179e-05,0.0,0.3175,0.31758530183727035,400,381,0.6825,0.3175,0.6824146981627297,0.31758530183727035,0.0475,0.9525,0.3312656171958952,2.030346384650329,0.6875
