layer,mm_train_acc,mm_raw_norm,mm_steering_norm,wmm_train_acc,wmm_raw_norm,wmm_steering_norm,wmm_reg_lambda,wmm_sample_space_condition_number
0,0.9375,5.891683578491211,1.0,1.0,1.6087846755981445,1.0,0.0009083904055817774,25846.646013678383
1,0.9,6.054555416107178,1.0,1.0,1.443658709526062,1.0,0.000967072296637977,26052.06593531704
2,0.9,6.9255690574646,1.0,1.0,1.2487022876739502,1.0,0.0012751180256886597,28049.65442955816
3,0.9,8.019161224365234,1.0,1.0,0.9961119294166565,0.9999999403953552,0.0017359886302417884,29539.7323705558
4,0.95,10.120000839233398,0.9999999403953552,1.0,0.7837886214256287,0.9999999403953552,0.0025005467942972766,28278.197456948332
5,0.9625,11.80525016784668,0.9999999403953552,1.0,0.6885265111923218,1.0,0.0033399628954619703,26677.45106934714
6,0.95,12.91912841796875,1.0,1.0,0.5577825307846069,0.9999999403953552,0.003956530757690673,25721.78585276368
7,0.975,14.090812683105469,1.0,1.0,0.49868783354759216,0.9999999403953552,0.004618617003706892,24459.553473040312
8,0.9875,14.513152122497559,0.9999999403953552,1.0,0.47916510701179504,1.0,0.004927164607428248,25168.925483984254
9,0.9625,16.5918025970459,0.9999999403953552,1.0,0.40967023372650146,0.9999999403953552,0.006076869231442548,26335.237285953717
10,0.975,18.254858016967773,0.9999999403953552,1.0,0.3807521164417267,0.9999999403953552,0.007252656763759614,30746.99733657493
11,0.975,20.238117218017578,1.0,1.0,0.3166820704936981,1.0,0.008383318462291286,30619.870937205025
12,0.975,21.62215232849121,1.0,1.0,0.28969040513038635,1.0,0.009218540825568479,28980.6698080608
13,0.9625,23.659595489501953,0.9999999403953552,1.0,0.24763236939907074,0.9999999403953552,0.010098409501601839,28796.96855740794
14,0.95,24.884986877441406,1.0,1.0,0.2422870397567749,0.9999999403953552,0.010755915479458993,29203.737164087343
15,0.95,26.01370620727539,0.9999999403953552,1.0,0.22489213943481445,0.9999999403953552,0.01096504180759512,28261.275102166255
16,0.95,27.22351837158203,1.0000001192092896,1.0,0.2134316861629486,0.9999999403953552,0.011607654267648907,28121.33942084525
17,0.9625,27.661598205566406,1.0,1.0,0.20594185590744019,1.0,0.011801310014305087,28615.63689136891
18,0.9625,28.25712013244629,1.0,1.0,0.20206895470619202,1.0,0.012146116417729709,28331.615606362364
19,0.975,28.50680160522461,0.9999999403953552,1.0,0.19828063249588013,0.9999999403953552,0.012529827126918785,28744.597375178106
20,0.975,29.139257431030273,1.0,1.0,0.19638773798942566,1.0,0.012657053855026884,29949.106227942037
21,0.975,28.883745193481445,1.0,1.0,0.19627436995506287,0.9999999403953552,0.012798671312910705,30500.62165579119
22,0.9625,29.82578468322754,1.0,1.0,0.18930485844612122,0.9999999403953552,0.013188105829748704,30329.11356149496
23,0.975,30.537681579589844,1.0,1.0,0.1815379410982132,1.0,0.013516429264352208,30573.45713145364
24,0.975,31.519142150878906,1.0,1.0,0.17589330673217773,1.0,0.013924751153806461,29468.150189317545
25,0.975,32.2110595703125,0.9999999403953552,1.0,0.17603641748428345,1.0,0.014400859582543784,29942.787474108365
26,0.975,32.540287017822266,1.0,1.0,0.17488513886928558,1.0,0.015045317479893192,29696.238529259947
27,0.975,33.67251968383789,0.9999999403953552,1.0,0.1661505103111267,0.9999999403953552,0.01678702507424681,30908.765937591124
28,0.9625,35.994075775146484,0.9999999403953552,1.0,0.1585535705089569,0.9999999403953552,0.018738761097095023,32056.32254180227
29,0.975,38.255313873291016,1.0,1.0,0.15313316881656647,1.0,0.021221643300923857,34018.27288754385
30,0.9625,40.53266906738281,0.9999999403953552,1.0,0.14348310232162476,1.0,0.024069559148824284,32652.384822513068
31,0.9625,42.9810905456543,1.0,1.0,0.13339976966381073,1.0,0.02843258086605148,32415.6599106878
32,0.95,45.73832321166992,0.9999999403953552,1.0,0.12586699426174164,1.0,0.032698063125462355,32261.680842337377
33,0.9625,50.052127838134766,1.0,1.0,0.11575690656900406,1.0,0.040282134007319795,32131.222565536584
34,0.95,53.901634216308594,1.0000001192092896,1.0,0.10486781597137451,0.9999999403953552,0.04850761848733682,31447.83605322602
35,0.95,58.6070671081543,1.0,1.0,0.09564723819494247,0.9999999403953552,0.059951108061949435,30620.33942142844
36,0.9625,63.567562103271484,0.9999999403953552,1.0,0.08697555959224701,0.9999999403953552,0.07075227970859499,29623.13467956999
37,0.9375,69.22588348388672,1.0,1.0,0.07843529433012009,1.0,0.08621794255576276,28872.825104849824
38,0.9375,73.27470397949219,1.0,1.0,0.07459889352321625,1.0,0.09773461536399858,28516.343593822006
