dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_train,mm,steer_immediate,28,4.0,-4.0,23.30733871459961,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,-0.05249999999999999,0.05249999999999999,-0.053694163512778004,0.053694163512778004,-0.06960072574031073,-0.04500000000000004,0.37,0.3702770780856423,400,397,0.63,0.37,0.6297229219143576,0.3702770780856423,0.0075,0.9925,0.2031182680337224,0.6606012220215053,0.6575
explicit_train,mm,steer_long_term,28,8.0,8.0,23.30733871459961,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.07750000000000001,-0.07750000000000001,0.07728820424540839,-0.07728820424540839,0.1357144791586325,0.07499999999999996,0.76,0.760705289672544,400,397,0.76,0.24,0.760705289672544,0.23929471032745592,0.0075,0.9925,0.40843347293266563,1.4720391946600284,0.7775
explicit_train,mm,steer_immediate,28,8.0,-8.0,23.30733871459961,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,-0.13249999999999995,0.1325,-0.1345449049760078,0.13454490497600785,-0.14265973286470396,-0.11750000000000005,0.45,0.45112781954887216,400,399,0.55,0.45,0.5488721804511278,0.45112781954887216,0.0025,0.9975,0.13005926090932918,0.3665199082181789,0.585
explicit_train,mm,steer_long_term,28,16.0,16.0,23.30733871459961,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.15249999999999997,-0.1525,0.15285495487513134,-0.15285495487513132,0.2665249997656793,0.13249999999999995,0.835,0.836272040302267,400,397,0.835,0.165,0.836272040302267,0.163727959697733,0.0075,0.9925,0.5392439935397124,1.9776222976110875,0.835
explicit_train,mm,steer_immediate,28,16.0,-16.0,23.30733871459961,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,-0.255,0.255,-0.2573519225198675,0.25735192251986755,-0.29678543249785433,-0.235,0.5725,0.5739348370927319,400,399,0.4275,0.5725,0.42606516290726815,0.5739348370927319,0.0025,0.9975,-0.024066438723821193,-0.26186497875722126,0.4675
explicit_train,mm,steer_long_term,32,1.0,1.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.0050000000000000044,-0.0050000000000000044,0.004240345303342941,-0.004240345303342885,0.007396439917501996,0.0024999999999999467,0.6875,0.6876574307304786,400,397,0.6875,0.3125,0.6876574307304786,0.3123425692695214,0.0075,0.9925,0.28011543369153513,0.9675162547407672,0.705
explicit_train,mm,steer_immediate,32,1.0,-1.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.0,0.0,-0.0007974380719718566,0.0007974380719719676,-0.00748605408298314,-0.0025000000000000577,0.3175,0.31738035264483627,400,397,0.6825,0.3175,0.6826196473551638,0.31738035264483627,0.0075,0.9925,0.26523293969105,0.9087587005028035,0.7
explicit_train,mm,steer_long_term,32,2.0,2.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.012499999999999956,-0.012500000000000011,0.011797020366315247,-0.011797020366315192,0.015159170416300216,0.010000000000000009,0.695,0.6952141057934509,400,397,0.695,0.305,0.6952141057934509,0.3047858942065491,0.0075,0.9925,0.28787816419033335,0.9977517164708115,0.7125
explicit_train,mm,steer_immediate,32,2.0,-2.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,-0.0024999999999999467,0.0025000000000000022,-0.003316329759629366,0.0033163297596294217,-0.015314381776261154,-0.010000000000000009,0.32,0.3198992443324937,400,397,0.68,0.32,0.6801007556675063,0.3198992443324937,0.0075,0.9925,0.257404611997772,0.8781027187546715,0.6925
explicit_train,mm,steer_long_term,32,4.0,4.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.022499999999999964,-0.02250000000000002,0.021872587116944953,-0.021872587116944897,0.03007111501588955,0.010000000000000009,0.705,0.7052896725440806,400,397,0.705,0.295,0.7052896725440806,0.2947103274559194,0.0075,0.9925,0.3027901087899227,1.0563476376049221,0.7125
explicit_train,mm,steer_immediate,32,4.0,-4.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,-0.015000000000000013,0.015000000000000013,-0.015075376884422065,0.01507537688442212,-0.030186787887359956,-0.01749999999999996,0.3325,0.3316582914572864,400,398,0.6675,0.3325,0.6683417085427136,0.3316582914572864,0.005,0.995,0.24253220588667318,0.8191465339576826,0.685
explicit_train,mm,steer_long_term,32,8.0,8.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.03500000000000003,-0.03500000000000003,0.036279884269834084,-0.03627988426983403,0.059914748247829275,0.02749999999999997,0.7175,0.7196969696969697,400,396,0.7175,0.2825,0.7196969696969697,0.2803030303030303,0.01,0.99,0.3326337420218624,1.1726580590265803,0.73
explicit_train,mm,steer_immediate,32,8.0,-8.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,-0.03749999999999998,0.03749999999999998,-0.03768844221105527,0.03768844221105527,-0.06074367749912196,-0.03500000000000003,0.355,0.3542713567839196,400,398,0.645,0.355,0.6457286432160804,0.3542713567839196,0.005,0.995,0.21197531627491117,0.6978989365277812,0.6675
explicit_train,mm,steer_long_term,32,16.0,16.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,0.07250000000000001,-0.07250000000000001,0.07286432160804024,-0.07286432160804018,0.11754145359445828,0.07499999999999996,0.755,0.7562814070351759,400,398,0.755,0.245,0.7562814070351759,0.24371859296482412,0.005,0.995,0.3902604473684914,1.394759695752291,0.7775
explicit_train,mm,steer_immediate,32,16.0,-16.0,30.687641143798828,1.0,0.6825,0.3175,0.6834170854271356,0.3165829145728643,0.27271899377403314,0.7025,-0.11750000000000005,0.1175,-0.11809045226130654,0.11809045226130654,-0.12029283560521434,-0.09999999999999998,0.435,0.43467336683417085,400,398,0.565,0.435,0.5653266331658291,0.43467336683417085,0.005,0.995,0.1524261581688188,0.45936602601082993,0.6025
explicit_test,mm,steer_long_term,16,1.0,1.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.00041251262649893983,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.24587334455922247,0.8432553250342607,0.67
explicit_test,mm,steer_immediate,16,1.0,-1.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.00026090315543114695,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.24519992877729238,0.8405264955759049,0.67
explicit_test,mm,steer_long_term,16,2.0,2.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.000582103785127408,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.24604293571785094,0.8440785090997815,0.67
explicit_test,mm,steer_immediate,16,2.0,-2.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.0003772109653800704,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.24508362096734346,0.8399534333869815,0.67
explicit_test,mm,steer_long_term,16,4.0,4.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.001871291724964974,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2473321236576885,0.8492501322366297,0.67
explicit_test,mm,steer_immediate,16,4.0,-4.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.0007728169672191199,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2446880149655044,0.8378256541490555,0.67
explicit_test,mm,steer_long_term,16,8.0,8.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.010000000000000009,0.009999999999999953,-0.016666666666666607,0.016666666666666663,0.003941702130250635,0.0,0.65,0.65,100,100,0.65,0.35,0.65,0.35,0.0,1.0,0.24940253406297416,0.8576669956557452,0.67
explicit_test,mm,steer_immediate,16,8.0,-8.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.0010720077389851368,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2443888241937384,0.8369274999387563,0.67
explicit_test,mm,steer_long_term,16,16.0,16.0,15.38533878326416,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,-0.006666666666666599,0.00666666666666671,0.01188663136214016,0.019999999999999907,0.66,0.66,100,100,0.66,0.34,0.66,0.34,0.0,1.0,0.2573474632948637,0.8891524683125317,0.69
